subj,month,video_age_days
1,6,186
2,6,197
3,6,184
4,6,186
6,6,190
7,6,192
8,6,190
9,6,189
10,6,189
11,6,189
12,6,188
13,6,186
14,6,188
15,6,189
16,6,190
17,6,188
18,6,188
19,6,186
20,6,185
21,6,186
22,6,185
23,6,186
25,6,184
26,6,183
27,6,189
28,6,185
29,6,187
30,6,183
31,6,182
32,6,183
33,6,184
34,6,186
35,6,179
36,6,187
37,6,189
38,6,191
39,6,183
40,6,188
41,6,186
42,6,186
43,6,184
44,6,181
45,6,187
46,6,190
1,7,214
2,7,222
3,7,215
4,7,216
6,7,218
7,7,222
8,7,218
9,7,216
10,7,216
11,7,216
12,7,216
13,7,214
14,7,212
15,7,215
16,7,215
17,7,216
18,7,215
19,7,214
20,7,213
21,7,214
22,7,217
23,7,216
25,7,217
26,7,215
27,7,213
28,7,215
29,7,215
30,7,215
31,7,215
32,7,217
33,7,213
34,7,212
35,7,213
36,7,211
37,7,211
38,7,215
39,7,211
40,7,214
41,7,213
42,7,213
43,7,216
44,7,215
45,7,215
46,7,215